rank,title,author,weeks_on_list
1,WITCH AND WIZARD,James Patterson and Gabrielle Charbonnet,1
2,THE HUNGER GAMES,Suzanne Collins,67
3,CATCHING FIRE,Suzanne Collins,16
4,THE MAGICIAN’S ELEPHANT,Kate DiCamillo,15
5,FALLEN,Lauren Kate,2
1,GUINNESS WORLD RECORDS 2010,edited  Craig Glenday,14
2,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle",13
3,THE PIONEER WOMAN COOKS,Ree Drummond,8
4,4-HOUR WORKWEEK,Timothy Ferriss,56
5,IT'S YOUR TIME,Joel Osteen,7
1,THE LOST SYMBOL,Dan Brown,14
2,CROSS FIRE,James Patterson,5
3,"UNDER THE DOME, PART 1",Stephen King,6
4,THE HELP,Kathryn Stockett,38
5,U IS FOR UNDERTOW,Sue Grafton,3
1,THE BOOK OF GENESIS: ILLUSTRATED,R Crumb,10
2,THE WONDERFUL WIZARD OF OZ,Eric Shanower and Skottie Young,14
3,PRIDE AND PREJUDICE,Nancy Butler and Hugo Petrus,8
4,WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven,4
5,BATMAN: BATTLE FOR THE COWL,Tony Daniel,4
1,GOING ROGUE,Sarah Palin,5
2,HAVE A LITTLE FAITH,Mitch Albom,12
3,ARGUING WITH IDIOTS,"edited  Glenn Beck, Kevin Balfe and others",13
4,STONES INTO SCHOOLS,Greg Mortenson,3
5,OPEN,Andre Agassi,6
1,NARUTO 46,Masashi Kishimoto,12
2,"BLEACH, VOL.  29",Tite Kubo,3
3,"VAMPIRE KNIGHT, VOL. 8",Matsuri Hino,7
4,"MAXIMUM RIDE, VOL. 2",James Patterson and NaRae Lee,8
5,"MAXIMUM RIDE, VOL. 1",James Patterson and NaRae Lee,2
1,DEAR JOHN,Nicholas Sparks,4
2,THE ASSOCIATE,John Grisham,13
3,ARCTIC DRIFT,Clive Cussler and Dirk Cussler,4
4,THE LOVELY BONES,Alice Sebold,11
5,CROSS COUNTRY,James Patterson,12
1,"MORE DINERS, DRIVE-INS AND DIVES",Guy Fieri with Ann Volkwein,7
2,"DINERS, DRIVE-INS AND DIVES",Guy Fieri with Ann Volkwein,19
3,NEW MOON,Mark Cotta Vaz,11
4,THE LOVE DARE,Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough,65
5,THE FIVE LOVE LANGUAGES,Gary Chapman,125
1,THE BOOK THIEF,Markus Zusak,119
2,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,48
4,THIRST NO. 1,Christopher Pike,20
